Entity Type,TAG,Category,Domain,Data Type,PI/PII,regulatory_tags,Generic Type,Included old entity types (for Purple),Is Personalized,Entity type description,Format Description,Format,Is delimiter optional,Masking Format,Detection,Type,FullAndOnlyCover,VerificationRequired,SpecificationRequired,Regular expression,Description,Examples,Context Description,ConvertToLowerCase,Comments,UseFormatForDataGeneration,Description GPT,Prompt Instruction
Address,ADDRESS,person.places,person,data,PI,"[""PI""]",,"[Home Address, Work address]",,any address,an address,,,USAddressSimpleFull,C,,,0,0,,,,"address, lives in",1,,0,,
Age,AGE,person.demographics,person,data,PI,"[""PI""]",,,,,a person's age,PersonAge,,,FC+CR or maybe just C,RE,0,1,0,,"if FC, add in another place, not Format Repository ",,"age, years old",0,,1,,
AuthenticationAndAuthorizationData,AAD,person.security,person,operationalID,PI,"[""PI"", ""CREDENTIALS""]",,"[OAuth Access Token, JWT (JSON Web Token), API Key, Session Token, SSH Private Key, GPG/PGP Key, X.509 Certificate, IAM User ARN, Certificate Serial Number, Certificate Thumbprint (SHA-1, SHA-256), Certificate Expiration Date, RSA Private Key, RSA Public Key, Elliptic Curve (EC) Private Key]",,any authentication and access data,an authentication and access data,,,,C,,,,,,,,authentication and authorization data,,,0,,
Bank Name,BNK,finance.banking,finance,data,PI,"[""PI""]",,,,,a bank name,Banks,,,FC or maybe just C,D,0,1,0,,,,bank name,1,,1,,
BankAccountNumber,BAN,finance.banking,finance,personID,PII,"[""PII""]",,,,,a bank account number,"[USBankAccountNumber,AlbaniaBban,AndorraBban,ArabEmiratesBban,AustriaBban,AzerbaijanBban,BahrainBban,BelarusBban,BelgiumBban,BosniaAndHerzegovinaBban,BrazilBban,BulgariaBban,CostaRicaBban,CroatiaBban,CyprusBban,CzechRepublicBban,DenmarkBban,DominicanRepublicBban,EastTimorBban,EgyptBban,EstoniaBban,FaroeIslandsBban,FinlandBban,FranceBban,GeorgiaBban,GermanBban,GibraltarBban,GreatBritainBban,GreeceBban,GreenlandBban,GuatemalaBban,HungaryBban,IcelandBban,IraqBban,IrelandBban,IsraelBban,ItalyBban,JordanBban,KazakhstanBban,KosovoBban,KuwaitBban,LatviaBban,LebanonBban,LiechtensteinBban,LithuaniaBban,LuxembourgBban,MacedoniaBban,MaltaBban,MauritaniaBban,MauritiusBban,MoldovaBban,MonacoBban,MontenegroBban,NetherlandsBban,NorwayBban,PakistanBban,PalestineBban,PolandBban,PortugalBban,QatarBban,RomaniaBban,SaintLuciaBban,SanMarinoBban,SaoTomeBban,SaudiArabiaBban,SerbiaBban,SeychellesBban,SlovakiaBban,SloveniaBban,SpainBban,SwedenBban,SwitzerlandBban,TunisiaBban,TurkeyBban,UkraineBban,VaticanBban,VirginIslandsBban]",1,,FC+CR ,RE,1,0,0,"\b\d{4,6}[- ]?\d{4,6}[- ]?\d{4,8}\b","typically 8-18 digits, sometimes longer. Some bank account numbers include separators like dashes (-) or spaces.","9876543212345670, 1234-5678-9012",bank account number,0,USInvestment Account Number (tag: IAN) merged with this format,1,,
"Billing Code (CPT, HCPCS)",BC,medical.codes,medical,data,PI,"[""PI""]",,,,,a billing code,CPTCodes,1,,FC+CR,RE,1,1,,"\b\d{4,5}\b",Codes used for medical procedures. Format: 99213 (4-5 digit numbers for procedures),"99213, 45378 ","Billing Code for medical procedures(CPT, HCPCS)",0,merged with CPT,1,,
CryptoCurrencyAddress,CCA,finance.crypto,finance,personID,PII,"[""PII""]",,"[Bitcoin (BTC) Wallet Address, Ethereum (ETH) Wallet Address, Litecoin (LTC) Address, Dogecoin (DOGE) Address, Ripple (XRP) Address, Monero (XMR) Address, Cardano (ADA) Address, Polkadot (DOT) Address, Solana (SOL) Address]",1,any cryptocurrency address,a crypto currency address,"[BitcoinAddress,EtherumAddress,LitecoinAddress,DogecoinAddress,RippleAddress,MoneroAddress,CardanoAddress,PolkadotAddress,PolkadotAddress,SolanaAddress]",1,,FC,RE,1,0,0,,Solana addresses are 44 base-58 characters.,5hA8G9uB5FKCktQ9vhEKFAGFNXcTiTf2Jjh98c6Aqz9h,crypto currency address,0,,1,,
Date,DATE,person.dates,person,data,PI,"[""PI""]",,,,,a date,"[USDate,USShortDate,EUDate,EUShortDate,FullMonthDate,IsoDate,IsoShortDate]",,,FC+ST,RE,0,0,0,,,,a date,0,,1,,"Must be expressed only using absolute calendar references (e.g., Ã¢â‚¬Ëœ2025-03-14Ã¢â‚¬â„¢, Ã¢â‚¬ËœMarch, 2025Ã¢â‚¬â„¢, or Ã¢â‚¬Ëœ2021Ã¢â‚¬â„¢). Avoid any relative temporal expressions such as Ã¢â‚¬ËœtomorrowÃ¢â‚¬â„¢, Ã¢â‚¬ËœyesterdayÃ¢â‚¬â„¢, Ã¢â‚¬Ëœin two weeksÃ¢â‚¬â„¢, Ã¢â‚¬Ëœnext monthÃ¢â‚¬â„¢, Ã¢â‚¬Ëœlast yearÃ¢â‚¬â„¢, etc."
DateOfBirth,DOB,person.dates,person,data,PI,"[""PI""]",Date,,,,a date of birth,,,,"<F,Ea>,F+STh",RE,0,0,1,,,,"date of birth, was born on",0,,1,,
DateOfDeath,DOD,person.dates,person,data,PI,"[""PI""]",Date,,,,a date of death,,,,FC+ST,RE,0,0,1,,,,"date of death, deseased on, laid to rest on, passed away on",0,,1,,
Disease Name,DIS,medical.terms,medical,data,PI,"[""PI""]",,,,,a disease name,Disease,,,FC,D,0,1,0,,Recognized illnesses,"Diabetes, Hypertension",disease name,1,merged with Genetic Disorders; contains long names,1,,
DriversLicenseNumber,DLN,person.govID,person,personID,PII,"[""PII""]",,,1,,a driver's license number,"[IndianaStateDriversLicense,GeorgiaStateDriversLicense,DelawareStateDriversLicense,NewBrunswickProvinceDriversLicense,NorthCarolinaStateDriversLicense,AlbertaProvinceDriversLicense,WisconsinStateDriversLicense,NewJerseyStateDriversLicense,MassachusettsStateDriversLicense,WestVirginiaStateDriversLicense,NevadaStateDriversLicense,BritishColumbiaProvinceDriversLicense,VirginiaStateDriversLicense,ColoradoStateDriversLicense,OregonStateDriversLicense,HawaiiStateDriversLicense,ArkansasStateDriversLicense,NovaScotiaProvinceDriversLicense,AlaskaStateDriversLicense,SouthDakotaStateDriversLicense,IllinoisStateDriversLicense,KansasStateDriversLicense,MarylandStateDriversLicense,IdahoStateDriversLicense,WashingtonStateDriversLicense,FloridaStateDriversLicense,NewYorkStateDriversLicense,PrinceEdwardIslandProvinceDriversLicense,AlabamaStateDriversLicense,TennesseeStateDriversLicense,IowaStateDriversLicense,MichiganStateDriversLicense,MinnesotaStateDriversLicense,MaineStateDriversLicense,NebraskaStateDriversLicense,UtahStateDriversLicense,KentuckyStateDriversLicense,NewfoundlandandLabradorProvinceDriversLicense,RhodeIslandStateDriversLicense,ManitobaProvinceDriversLicense,WashingtonDCDriversLicense,VermontStateDriversLicense,NewMexicoStateDriversLicense,OhioStateDriversLicense,SouthCarolinaStateDriversLicense,WyomingStateDriversLicense,TexasStateDriversLicense,SaskatchewanProvinceDriversLicense,NorthDakotaStateDriversLicense,CaliforniaStateDriversLicense,QuebecProvinceDriversLicense,PennsylvaniaStateDriversLicense,LouisianaStateDriversLicense,ConnecticutStateDriversLicense,MissouriStateDriversLicense,ArizonaStateDriversLicense,MississippiStateDriversLicense,OklahomaStateDriversLicense,NewHampshireDriversLicense,OntarioProvinceDriversLicense,MontanaStateDriversLicense]",1,,FC+CR,RE,1,0,0,,,,drivers license number,0,,1,,
Drug Name,DRUG,medical.terms,medical,data,PI,"[""PI""]",,,,,a drug name,,,,C,,,,,,Generic or brand name medication,"Ibuprofen, Lipitor",drug name - generic or brand name,1,,0,,
DRUG_DOSE,DRUG_DOSE,medical.data,medical,data,PI,"[""PI""]",,,,"Drug dosage expression (strength, form, frequency)","a drug dosage expression (strength, form, frequency)",,,,C,,,,0,,"Drug dosage expression (strength, form, frequency)",50 mg tablets,"drug dosage expression (strength, form, frequency)",0,,0,"Drug dosage expression (strength, form, frequency)","Tag the full dosage expression of a drug, including strength and/or frequency. If a drug is tagged and a dosage phrase exists nearby, you MUST tag DRUG_DOSE too."
Email,EMAIL,person.contact,person,data,PII,"[""PII""]",,"[HomeEmailAddress, EmployeeWorkplaceEmail]",,any email,an email address,EnglishEmail,,NameBasedEmail,FC+CR,RE,0,0,0,,,,email address,0,,0,,
Employer Identification Number (EIN),EIN,finance.tax,finance,operationalID,PI,"[""PI""]",,,1,,an employer identification number (EIN),EmployerIdentificationNumber,1,,FC,RE,1,0,0,,9-digit number used by the IRS to identify businesses in the U.S. It follows the format:,"12-3456789, 98-7654321, 33-1234567",Employer Identification Number (EIN),0,,1,,
EmployerName,EN,person.employment,person,data,PI,"[""PI""]",Organization,,,,an organization or a company name,,,Organization_CaseSensitive,FC+CR,D,0,1,1,,,,employer name,1,,1,,
Ethnicity,ETHN,person.demographics,person,data,PI,"[""PI""]",,,,,a person's ethnicity,Ethnicity,,,FC,D,0,1,0,,,,ethnicity is a,1,,1,,
FinancialMetric,FMETRIC,finance.data,finance,data,PI,"[""PI""]",,,,"Any explicit quantitative financial metric expressed as percentage, ratio, allocation, multiplier (×), or basis points, excluding monetary values and excluding risk/credit scores/probabilities.","explicit quantitative financial metric expressed as percentage, ratio, allocation, multiplier (×), or basis points.",,,,C,,,,0,,"Any explicit quantitative financial metric expressed as percentage, ratio, allocation, multiplier (×), or basis points, excluding monetary values and excluding risk/credit scores/probabilities.","3.2%, 0.75% fee, 8% risk charge, LTV 77.3%, utilization 95%, DSCR 1.42×, 80/20, VaR 99%, 200 bps","explicit quantitative financial metric expressed as percentage, ratio, allocation, multiplier (×), or basis points.",0,,0,"Any explicit quantitative financial metric expressed as percentage, ratio, allocation, multiplier (×), or basis points, excluding monetary values and excluding risk/credit scores/probabilities.","Tag explicit numeric financial metrics expressed as %, ×, split ratios like 80/20, or bps/basis points when they represent a metric/charge/limit/utilization/allocation. Do not tag credit/risk scores or default probabilities (those are RiskScore)."
Gender,GEN,person.demographics,person,data,PI,"[""PI""]",,,,,a person's gender,Gender,,,FC,D,0,1,0,,,,"gender: female, male, intersex",1,,1,,
Health Insurance Claim Number (HICN),HICN,medical.identifiers,medical,personID,PII,"[""PII"", ""PHI""]",,,1,,a health insurance claim number (HICN),HealthInsuranceClaimNumber,,,FC,RE,1,0,,,Medicare or insurance claim number,"123-45-6789A, 987-65-4321B",health insurance claim number (HICN),0,,1,,
